district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว
ศรีนครินทร์,ลำสินธ์ุ,1,constituency,election_day,399,388,10,1,164,0,27,179,17,1,0
ศรีนครินทร์,ลำสินธ์ุ,2,constituency,election_day,536,511,20,5,257,1,34,183,33,1,2
ศรีนครินทร์,ลำสินธ์ุ,3,constituency,election_day,221,214,3,4,122,0,16,71,4,1,0
ศรีนครินทร์,ลำสินธ์ุ,4,constituency,election_day,417,400,7,10,189,1,44,148,11,1,6
ศรีนครินทร์,ลำสินธ์ุ,5,constituency,election_day,591,568,20,3,261,3,74,195,30,2,3
ศรีนครินทร์,ลำสินธ์ุ,6,constituency,election_day,604,587,15,2,278,2,34,257,15,0,1
ศรีนครินทร์,ลำสินธ์ุ,7,constituency,election_day,563,544,11,8,255,0,49,194,43,2,1
ศรีนครินทร์,ลำสินธ์ุ,8,constituency,election_day,233,225,7,1,100,0,10,105,9,0,1
กงหรา2,สมหวัง,0,constituency,election_day,316,302,8,6,137,2,32,111,19,1,0
กงหรา2,สมหวัง,1,constituency,election_day,665,625,23,17,221,3,109,256,33,1,2
กงหรา2,สมหวัง,2,constituency,election_day,396,379,13,4,121,1,46,189,22,0,0
กงหรา2,สมหวัง,3,constituency,election_day,358,332,20,6,88,0,60,166,16,1,1
กงหรา2,สมหวัง,4,constituency,election_day,413,392,9,12,135,2,48,175,29,0,3
กงหรา2,สมหวัง,5,constituency,election_day,374,345,20,9,176,4,56,68,38,0,3
กงหรา2,สมหวัง,6,constituency,election_day,427,411,12,4,198,0,50,135,25,2,1
กงหรา2,สมหวัง,7,constituency,election_day,197,186,4,7,83,0,36,61,5,0,1
ศรีนครินทร์,อ่างทอง,0,constituency,election_day,450,439,7,4,159,0,21,240,19,0,0
ศรีนครินทร์,อ่างทอง,1,constituency,election_day,379,363,7,9,89,0,47,199,27,0,1
ศรีนครินทร์,อ่างทอง,2,constituency,election_day,498,468,20,10,134,1,52,254,26,1,0
ศรีนครินทร์,อ่างทอง,3,constituency,election_day,538,530,1,7,84,2,31,396,15,1,1
ศรีนครินทร์,อ่างทอง,4,constituency,election_day,300,290,8,2,128,0,18,132,12,0,0
ศรีนครินทร์,อ่างทอง,5,constituency,election_day,223,214,8,1,59,1,24,122,7,1,0
ศรีนครินทร์,อ่างทอง,6,constituency,election_day,299,285,6,8,138,0,29,98,17,0,3
ศรีนครินทร์,อ่างทอง,7,constituency,election_day,250,242,6,2,130,0,20,82,10,0,0
ป่าพะยอม,เกาะเต่า,0,constituency,election_day,530,511,16,3,191,6,24,267,20,3,0
ป่าพะยอม,เกาะเต่า,1,constituency,election_day,334,325,4,5,88,2,42,178,15,0,0
ป่าพะยอม,เกาะเต่า,2,constituency,election_day,339,329,3,7,89,2,28,191,18,1,0
ป่าพะยอม,เกาะเต่า,3,constituency,election_day,556,539,4,13,139,5,32,329,33,0,1
ป่าพะยอม,เกาะเต่า,4,constituency,election_day,381,369,9,3,84,3,54,202,21,1,4
ป่าพะยอม,เกาะเต่า,5,constituency,election_day,411,395,3,13,101,1,41,226,25,1,0
ป่าพะยอม,เกาะเต่า,6,constituency,election_day,352,343,4,5,57,1,56,205,22,2,0
ป่าพะยอม,เกาะเต่า,7,constituency,election_day,500,486,8,6,92,3,58,301,30,0,2
ป่าพะยอม,เกาะเต่า,8,constituency,election_day,424,406,8,10,124,2,21,235,22,1,1
