district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type
ศรีนครินทร์,ชุมพล,13,partylist,election_day,275,260,10,5,0,0,0,0,1,0,1,0,0,28,0,166,2,0,1,1,0,3,0,0,0,0,0,0,20,0,3,4,0,0,0,0,0,0,1,0,3,0,0,18,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,260,0,0.03636363636363636,0.01818181818181818,0.9454545454545454,166,0.6384615384615384,0.1076923076923077,1.4087853333239604,86.42351766890395,False,False,NORMAL
ศรีนครินทร์,ชุมพล,14,partylist,election_day,247,242,5,0,0,0,0,0,1,0,4,0,0,33,0,154,2,1,1,0,0,2,1,0,0,0,0,0,17,0,0,1,1,0,0,1,0,0,0,0,2,1,1,14,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,242,0,0.020242914979757085,0.0,0.979757085020243,154,0.6363636363636364,0.13636363636363635,1.4013890402149238,87.09265374407049,False,False,NORMAL
ควนขนุน,ดอนทราย,0,partylist,election_day,206,202,2,2,0,1,0,0,1,0,0,0,0,27,0,105,1,0,0,0,0,0,1,1,0,0,0,0,42,0,0,1,3,1,0,0,0,0,0,0,0,0,0,10,1,1,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,202,0,0.009708737864077669,0.009708737864077669,0.9805825242718447,105,0.5198019801980198,0.2079207920792079,1.5137012380373625,84.9716101323631,False,False,NORMAL
ควนขนุน,ดอนทราย,1,partylist,election_day,372,357,10,5,1,1,0,0,1,0,3,0,0,68,0,193,4,0,1,0,0,1,0,0,0,0,0,1,52,0,0,1,3,0,0,0,1,0,0,0,0,1,1,14,3,1,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,357,0,0.026881720430107527,0.013440860215053764,0.9596774193548387,193,0.5406162464985994,0.19047619047619047,1.49743959267191,84.8487973001717,False,False,NORMAL
ควนขนุน,ดอนทราย,2,partylist,election_day,301,286,11,4,0,3,0,0,0,0,0,0,0,26,0,196,2,0,1,0,0,1,0,0,0,0,0,0,27,0,1,0,5,0,0,0,0,1,0,0,0,1,2,7,4,2,0,0,0,2,1,0,1,2,0,0,0,1,0,0,0,286,0,0.036544850498338874,0.013289036544850499,0.9501661129568106,196,0.6853146853146853,0.0944055944055944,1.3005735205338458,86.73793323986207,False,False,NORMAL
ควนขนุน,ดอนทราย,3,partylist,election_day,255,246,3,6,0,1,0,0,2,0,1,0,0,30,0,109,3,0,0,0,0,1,0,0,0,0,0,0,70,0,1,2,10,0,1,0,0,0,0,0,2,0,0,3,1,1,0,0,0,0,1,0,0,3,0,2,0,2,0,0,0,246,0,0.011764705882352941,0.023529411764705882,0.9647058823529412,109,0.44308943089430897,0.2845528455284553,1.640972406621428,81.29472356649734,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ดอนทราย,4,partylist,election_day,475,456,15,4,1,2,0,0,0,0,1,0,0,43,2,281,8,0,0,0,0,3,0,0,0,0,0,0,75,0,2,1,2,0,0,0,1,1,0,0,1,0,1,6,11,0,0,0,4,2,1,0,0,2,0,2,0,3,0,0,0,456,0,0.031578947368421054,0.008421052631578947,0.96,281,0.6162280701754386,0.16447368421052633,1.4173947056302598,86.0818417931447,False,False,NORMAL
ควนขนุน,ดอนทราย,5,partylist,election_day,284,279,2,3,0,1,0,0,1,0,1,0,0,32,0,126,1,0,1,0,0,1,0,0,0,1,0,0,76,1,1,1,8,0,0,0,0,0,0,0,3,0,1,8,1,1,0,0,0,0,0,0,0,3,0,2,0,7,0,0,1,279,0,0.007042253521126761,0.01056338028169014,0.9823943661971831,126,0.45161290322580644,0.2724014336917563,1.6732146017199163,81.46412840351869,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ดอนทราย,6,partylist,election_day,528,504,20,4,0,0,1,0,1,1,5,1,1,68,0,257,2,0,0,2,0,1,1,0,0,1,0,1,114,0,1,2,9,0,0,0,0,0,0,0,1,0,0,16,6,2,0,0,0,0,0,1,0,3,1,1,0,1,0,1,2,504,0,0.03787878787878788,0.007575757575757576,0.9545454545454546,257,0.5099206349206349,0.2261904761904762,1.567561959927342,82.72806005440624,False,False,NORMAL
ควนขนุน,ดอนทราย,7,partylist,election_day,262,255,5,2,0,0,0,0,0,0,0,0,0,34,1,120,3,0,0,0,0,3,0,0,0,0,0,0,63,1,0,0,2,0,0,0,1,0,0,1,0,0,0,15,3,1,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,255,0,0.019083969465648856,0.007633587786259542,0.9732824427480916,120,0.47058823529411764,0.24705882352941178,1.5638565310592472,82.52488327494862,False,False,NORMAL
