district,subdistrict,unit_index,form_type,vote_phase,latitude,longitude,latlong_location,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว
ควนขนุน,นาขยาด,7,constituency,election_day,7.6901421,99.9402381,ศาลาประจำหมู่บ้านบ้านสะพานข่อย,387,371,9,7,201,2,28,119,21,0,0
ควนขนุน,นาขยาด,8,constituency,election_day,7.707698400000001,99.9269198,ศาลาประจำหมู่บ้านบ้านโงกน้ำ,393,376,5,12,58,9,65,209,35,0,0
ควนขนุน,นาขยาด,9,constituency,election_day,7.679982700000001,99.9576849,ศาลาประจำหมู่บ้านบ้านทุ่งสำโรง,416,399,4,13,114,1,48,210,18,3,5
ควนขนุน,นาขยาด,10,constituency,election_day,7.679982700000001,99.9576849,ศาลาประจำหมู่บ้านบ้านโรงรม,366,345,14,7,92,8,47,167,26,2,3
ควนขนุน,นาขยาด,11,constituency,election_day,7.679982700000001,99.9576849,ศาลาประจำหมู่บ้านบ้านไสควายฟัน,404,379,10,15,97,15,60,185,22,0,0
ควนขนุน,นาขยาด,12,constituency,election_day,7.679982700000001,99.9576849,ศาลาประจำหมู่บ้านบ้านเขาวังทอง,456,443,5,8,129,4,22,248,38,0,2
ศรีนครินทร์,บ้านนา,1,constituency,election_day,7.586495599999999,99.8579768,ศาลาอเนกประสงค์ ร.ร.บ้านนาวง,619,582,23,14,189,4,90,250,46,2,1
ศรีนครินทร์,บ้านนา,2,constituency,election_day,7.55964,99.885151,ศาลาประจำหมู่บ้านบ้านลำใน,185,182,2,1,58,0,10,102,9,3,0
ศรีนครินทร์,บ้านนา,3,constituency,election_day,7.562269,99.9131441,ศาลาการเปรียญวัดบ้านนา,501,482,12,7,152,1,68,225,33,0,3
ศรีนครินทร์,บ้านนา,4,constituency,election_day,7.5640073,99.8794744,ศูนย์ส่งเสริมสุขภาพราษฎร,439,422,14,3,135,1,79,194,12,1,0
ศรีนครินทร์,บ้านนา,5,constituency,election_day,7.569812799999999,99.8929252,ศาลาประจำหมู่บ้านบ้านต้นไทร,314,298,6,10,118,0,31,124,23,2,0
ศรีนครินทร์,บ้านนา,6,constituency,election_day,7.5640073,99.8794744,ศาลาอเนกประสงค์บ้านตีนนา,433,418,6,9,107,1,42,247,19,0,2
ศรีนครินทร์,บ้านนา,7,constituency,election_day,7.5621172,99.8859108,ศาลาอเนกประสงค์บ้านหนองเหรียง,406,395,6,5,158,2,53,161,17,1,3
ศรีนครินทร์,บ้านนา,8,constituency,election_day,7.5640073,99.8794744,ศาลาประจำหมู่บ้านบ้านคอกเสือ,591,576,8,7,143,1,113,273,42,0,4
ศรีนครินทร์,บ้านนา,9,constituency,election_day,7.5640073,99.8794744,ศาลาประจำหมู่บ้านบ้านวงค์,329,317,5,7,140,0,25,117,35,0,0
ศรีนครินทร์,บ้านนา,10,constituency,election_day,7.5640073,99.8794744,ศาลาอเนกประสงค์บ้านป่าสน,341,336,3,2,137,1,80,94,23,0,1
ศรีนครินทร์,บ้านนา,11,constituency,election_day,7.576822099999999,99.8753746,ศาลาประจำหมู่บ้านบ้านน้ำใต้บ่อ,427,413,10,4,108,0,42,233,28,0,2
ศรีนครินทร์,บ้านนา,12,constituency,election_day,7.5640073,99.8794744,ที่ทำการกลุ่มแม่บ้านลำในใต้,387,362,14,11,202,2,38,100,18,1,1
ป่าพะยอม,บ้านพร้าว,1,constituency,election_day,7.814176799999999,99.9520961,เต๊นท์บริเวณตลาดใหม่ป่าพะยอม,438,416,0,22,116,3,76,153,64,0,4
ป่าพะยอม,บ้านพร้าว,2,constituency,election_day,7.8144408,99.9409196,ศาลาประจำหมู่บ้านบ้านพร้าว,392,366,3,23,104,4,62,161,34,0,1
ป่าพะยอม,บ้านพร้าว,3,constituency,election_day,7.7965689,99.92745370000002,ศาลาประจำหมู่บ้านบ้านตลิ่งชัน,506,479,11,16,117,7,54,269,30,1,1
ป่าพะยอม,บ้านพร้าว,4,constituency,election_day,7.830872999999999,99.930464,ศาลาประจำหมู่บ้านบ้านศาลาน้ำ,677,648,13,16,134,5,61,408,38,2,0
ป่าพะยอม,บ้านพร้าว,5,constituency,election_day,7.836562000000001,99.9709605,ศาลาประจำหมู่บ้านบ้านบ่อทราย,318,297,8,13,118,8,53,87,27,2,2
ป่าพะยอม,บ้านพร้าว,6,constituency,election_day,7.8144408,99.9409196,ศาลาประจำหมู่บ้านบ้านไสอ้อ,243,225,7,11,40,3,38,132,10,1,1
ป่าพะยอม,บ้านพร้าว,7,constituency,election_day,7.8144408,99.9409196,ศาลาประจำหมู่บ้านบ้านหาดสูง,628,613,5,10,164,2,47,363,33,2,2
ป่าพะยอม,บ้านพร้าว,8,constituency,election_day,7.8144408,99.9409196,ศาลาประจำหมู่บ้านบ้านไสกล้วย,373,356,13,4,73,0,31,232,18,0,2
ป่าพะยอม,บ้านพร้าว,9,constituency,election_day,7.7994581,99.9130875,ศาลาประจำหมู่บ้านบ้านหน้าป่า,687,657,21,9,122,8,59,437,24,4,3
ป่าพะยอม,บ้านพร้าว,10,constituency,election_day,7.8144408,99.9409196,ศาลาประจำหมู่บ้านบ้านไผ่รอบ,636,605,14,17,138,5,66,341,51,2,2
ป่าพะยอม,บ้านพร้าว,11,constituency,election_day,7.836562000000001,99.9709605,ศาลาประจำหมู่บ้านบ้านบ่อทรายใน,443,419,12,12,98,4,65,227,22,2,1
ควนขนุน,ปันแต,1,constituency,election_day,7.792807099999998,100.0611429,ศาลาประจำหมู่บ้านบ้านปลายคลอง,227,219,6,2,124,2,21,63,8,0,1
ควนขนุน,ปันแต,2,constituency,election_day,7.791803600000001,100.0351252,ศาลาประจำหมู่บ้านบ้านปันแต,129,127,1,1,100,0,0,25,2,0,0
ควนขนุน,ปันแต,3,constituency,election_day,7.804429099999999,100.0067757,ศาลาประจำหมู่บ้านบ้านสำนักกอ,493,478,7,8,136,3,51,271,15,0,2
ควนขนุน,ปันแต,4,constituency,election_day,7.804978500000001,100.0569463,ศาลาประจำหมู่บ้านบ้านปากสระ,251,236,3,12,63,12,23,135,3,0,0
ควนขนุน,ปันแต,5,constituency,election_day,7.8043368,100.0275755,ศาลาประจำหมู่บ้านบ้านควนปันแต,490,479,6,5,193,0,29,237,19,1,0
ควนขนุน,ปันแต,6,constituency,election_day,7.7882409,100.0275755,ศาลาประจำหมู่บ้านบ้านในไร่,498,481,11,6,123,24,14,308,10,1,1
ควนขนุน,ปันแต,7,constituency,election_day,7.7850935,100.0471549,ศาลาประจำหมู่บ้านบ้านโพธิ์,200,192,4,4,72,2,14,92,12,0,0
ควนขนุน,ปันแต,8,constituency,election_day,7.782078799999999,100.0611429,ศาลาประจำหมู่บ้านบ้านสุนทราออก,171,167,1,3,89,3,18,53,4,0,0
ควนขนุน,ปันแต,9,constituency,election_day,7.782478,100.0443576,ศาลาประจำหมู่บ้านบ้านสุนทราตก,349,341,3,5,179,7,32,111,11,0,1
ควนขนุน,ปันแต,10,constituency,election_day,7.7735798,100.0289689,สถานปฏิบัติธรรมบ้านไสหลวง,353,346,3,4,85,1,11,229,19,0,1
ควนขนุน,ปันแต,11,constituency,election_day,7.734939400000001,100.0100936,ศาลาประจำหมู่บ้านบ้านทุ่งลาน,384,374,8,2,215,0,15,130,11,1,2
ควนขนุน,ปันแต,12,constituency,election_day,7.791652699999999,99.9968167,ศาลาประจำหมู่บ้านบ้านหารเจ,336,331,3,2,101,1,41,166,20,1,1
ควนขนุน,ปันแต,13,constituency,election_day,7.762721,100.0576457,ศาลาประจำหมู่บ้านบ้านเขากลาง,188,183,2,3,38,0,6,132,5,0,2
ป่าพะยอม,ป่าพะยอม,1,constituency,election_day,7.8521588,99.9353318,ศาลาประจำหมู่บ้านบ้านสังแกระ,453,438,11,4,81,4,49,275,27,2,0
ป่าพะยอม,ป่าพะยอม,2,constituency,election_day,7.7542239,99.8194682,ศาลาประจำหมู่บ้านบ้านป่าพะยอม,337,319,11,7,36,0,67,192,23,1,0
ป่าพะยอม,ป่าพะยอม,3,constituency,election_day,7.841230299999999,99.9385037,โรงเรียนอนุบาลป่าพะยอม,357,327,10,20,46,2,54,198,25,1,1
ป่าพะยอม,ป่าพะยอม,4,constituency,election_day,7.8521588,99.9353318,ศาลาประจำหมู่บ้านบ้านทุง,511,462,16,33,92,5,108,214,37,4,2
ป่าพะยอม,ป่าพะยอม,5,constituency,election_day,7.851793,99.964334,ศาลาประจำหมู่บ้านบ้านประดู่หอม,397,382,6,9,124,0,37,198,22,1,0
ป่าพะยอม,ป่าพะยอม,6,constituency,election_day,7.838677,99.863101,ศาลาประจำหมู่บ้านบ้านนาทราย,531,487,14,30,78,10,91,268,38,0,2
ป่าพะยอม,ป่าพะยอม,7,constituency,election_day,7.8521588,99.9353318,ศาลาประจำหมู่บ้านบ้านโคกกอ,498,481,6,11,104,3,78,260,32,0,4
