district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,validation_error,has_validation_error,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type
ศรีบรรพต,ตะแพน,2,constituency,election_day,603,583,16,4,147,3,47,344,42,0,0,583,0,0.026533996683250415,0.006633499170812604,0.966832504145937,344.0,0.5900514579759862,0.3379073756432247,1.0782914427703865,,False,98.54063018242122,False,False,NORMAL
ศรีบรรพต,ตะแพน,3,constituency,election_day,335,326,2,7,145,0,27,136,16,2,0,326,0,0.005970149253731343,0.020895522388059702,0.9731343283582089,145.0,0.4447852760736196,0.027607361963190184,1.1105698770410646,,False,99.28358208955224,False,False,NORMAL
ศรีบรรพต,ตะแพน,4,constituency,election_day,144,142,2,0,62,0,3,72,5,0,0,142,0,0.013888888888888888,0.0,0.9861111111111112,72.0,0.5070422535211268,0.07042253521126761,0.9055079106285389,,False,99.30555555555556,False,True,UNUSUAL_VOTING_PATTERN
ศรีบรรพต,ตะแพน,5,constituency,election_day,549,531,10,8,199,3,56,235,33,1,4,531,0,0.018214936247723135,0.014571948998178506,0.9672131147540983,235.0,0.4425612052730697,0.06779661016949153,1.2163520128349758,,False,98.79781420765028,False,False,NORMAL
ศรีบรรพต,ตะแพน,6,constituency,election_day,376,369,4,3,128,2,56,147,35,1,0,369,0,0.010638297872340425,0.007978723404255319,0.9813829787234043,147.0,0.3983739837398374,0.051490514905149054,1.2877705322990556,,False,99.30851063829786,False,False,NORMAL
ศรีบรรพต,ตะแพน,7,constituency,election_day,614,602,4,8,238,2,98,230,31,2,1,602,0,0.006514657980456026,0.013029315960912053,0.9804560260586319,238.0,0.3953488372093023,0.013289036544850499,1.2313011889016099,,False,99.41368078175897,False,False,NORMAL
ศรีบรรพต,ตะแพน,8,constituency,election_day,343,335,5,3,121,3,9,190,10,1,1,335,0,0.014577259475218658,0.008746355685131196,0.9766763848396501,190.0,0.5671641791044776,0.20597014925373133,0.9683934013185924,,False,99.09620991253644,False,False,NORMAL
ศรีบรรพต,ตะแพน,9,constituency,election_day,339,324,6,9,109,5,33,155,21,0,1,324,0,0.017699115044247787,0.02654867256637168,0.9557522123893806,155.0,0.4783950617283951,0.1419753086419753,1.2114388165077117,,False,98.58407079646017,False,False,NORMAL
ควนขนุน,ทะเลน้อย,1,constituency,election_day,614,584,21,9,239,6,36,280,18,3,2,584,0,0.03420195439739414,0.014657980456026058,0.9511400651465798,280.0,0.4794520547945205,0.0702054794520548,1.0906510868212673,,False,97.99674267100977,False,False,NORMAL
ควนขนุน,ทะเลน้อย,2,constituency,election_day,330,319,3,8,95,3,18,184,19,0,0,319,0,0.00909090909090909,0.024242424242424242,0.9666666666666667,184.0,0.5768025078369906,0.27899686520376177,1.0522338826770001,,False,99.06060606060606,False,False,NORMAL
